TimeUS,terrain_cm,sub_cm,rf_cm,signal_quality
46200750,-2000.0,-1114.9,886,100
46299885,-2000.0,-1114.899057340622,888,100
46400682,-2000.0,-1114.8486589317322,895,100
46600141,-2000.0,-1114.8,886,100
46697134,-2000.0,-1114.8,885,100
46799733,-2000.0,-1114.8,882,100
46896164,-2000.0,-1114.8,882,100
47000849,-2000.0,-1114.6961504936219,893,100
47199330,-2000.0,-1114.6000000000001,885,100
47295134,-2000.0,-1114.6000000000001,887,100
47401081,-2000.0,-1114.6520406246186,888,100
47599737,-2000.0,-1114.8541069984435,884,100
47702490,-2000.0,-1115.008235311508,885,100
47802549,-2000.0,-1115.1583235397338,887,100
48001604,-2000.0,-1115.3,888,100
48103061,-2000.0,-1115.3,882,100
48200793,-2000.0,-1115.3,888,100
48299576,-2000.0,-1115.2984236717225,883,100
48402652,-2000.0,-1115.1953479766846,888,100
48599549,-2000.0,-1114.9476762428285,890,100
48698340,-2000.0,-1114.799828998048,881,100
48799386,-2000.0,-1114.7490522145026,893,100
48999536,-2000.0,-1114.7512681484222,882,100
49095615,-2000.0,-1114.7993075847626,896,100
49199386,-2000.0,-1114.9023860931397,882,100
49399536,-2000.0,-1115.0512681484222,883,100
49495340,-2000.0,-1115.099170255661,881,100
49599274,-2000.0,-1115.1511372566224,879,100
49697507,-2000.0,-1115.2,884,100
49800660,-2000.0,-1115.2,891,100
49897366,-2000.0,-1115.1994534506728,878,100
50001999,-2000.0,-1115.0432840148017,892,100
50200343,-2000.0,-1114.8488284111022,876,100
50296134,-2000.0,-1114.800932741165,886,100
50389617,-2000.0,-1114.7083829879762,886,100
50402016,-2000.0,-1114.6959831237793,883,100
50599321,-2000.0,-1114.6506608600616,890,100
50697194,-2000.0,-1114.6995972270965,883,100
50800905,-2000.0,-1114.6482887958164,885,100
50896228,-2000.0,-1114.6003875080667,889,100
51000291,-2000.0,-1114.6000000000001,889,100
51097044,-2000.0,-1114.5999114990236,889,100
51201094,-2000.0,-1114.3918117523194,888,100
51399356,-2000.0,-1114.046465921402,884,100
51495083,-2000.0,-1113.902875471115,872,100
51588363,-2000.0,-1113.8543180942534,886,100
51602909,-2000.0,-1113.847045278549,886,100
51800660,-2000.0,-1113.8518303756714,881,100
51899250,-2000.0,-1113.9011194883888,886,100
52002390,-2000.0,-1113.9524329550823,888,100
52200364,-2000.0,-1114.0,879,100
52296979,-2000.0,-1114.0,883,100
52390479,-2000.0,-1113.9075203895568,882,100
52402055,-2000.0,-1113.8959444999696,889,100
52599287,-2000.0,-1113.749356306076,893,100
52696881,-2000.0,-1113.70055941391,893,100
52801373,-2000.0,-1113.6480537318705,885,100
52897177,-2000.0,-1113.5998227119449,880,100
52999420,-2000.0,-1113.497579574585,882,100
53095898,-2000.0,-1113.401101589203,888,100
53200875,-2000.0,-1113.3480623722078,884,100
53399364,-2000.0,-1113.2488176822662,877,100
53497623,-2000.0,-1113.2003118038178,883,100
53599682,-2000.0,-1113.2513411045074,883,100
53698267,-2000.0,-1113.3000000000002,879,100
53799437,-2000.0,-1113.3000000000002,878,100
54000652,-2000.0,-1113.2481739158632,887,100
54097035,-2000.0,-1113.1999822189557,877,100
54200326,-2000.0,-1113.148594024051,882,100
54294774,-2000.0,-1113.1016049247476,888,100
54400544,-2000.0,-1112.8949102401734,889,100
54496495,-2000.0,-1112.7030099868775,878,100
54600326,-2000.0,-1112.4953479766846,886,100
54798463,-2000.0,-1112.099073173523,896,100
54891718,-2000.0,-1111.9125630874632,888,100
54987831,-2000.0,-1111.6742923084814,895,100
55001076,-2000.0,-1111.641012669089,892,100
55199304,-2000.0,-1111.2465431690216,888,100
55295220,-2000.0,-1111.1026694774628,894,100
55398356,-2000.0,-1110.998643875122,897,100
55493718,-2000.0,-1110.9032816886902,892,100
55599446,-2000.0,-1110.7463307380676,884,100
55697846,-2000.0,-1110.6,889,100
55801724,-2000.0,-1110.6,888,100
55999467,-2000.0,-1110.7537015571595,886,100
56093289,-2000.0,-1110.89443384552,887,100
56189496,-2000.0,-1111.038054998597,892,100
56202094,-2000.0,-1111.0568569012544,884,100
56400665,-2000.0,-1111.2513325214386,888,100
56497967,-2000.0,-1111.2999835014343,888,100
56599347,-2000.0,-1111.4520213127137,884,100
56694520,-2000.0,-1111.5947813510895,885,100
56799527,-2000.0,-1111.7015277137757,890,100
56895593,-2000.0,-1111.797593711853,890,100
57000810,-2000.0,-1111.9033275201693,889,100
57199373,-2000.0,-1112.1535598278047,884,100
57295932,-2000.0,-1112.2983991146089,881,100
57389333,-2000.0,-1112.530834245682,895,100
57399394,-2000.0,-1112.5559866905214,896,100
57599484,-2000.0,-1113.0049695968628,888,100
57697516,-1900.0,-1113.200516319275,781,100
57799544,-1900.0,-1113.3025448799133,790,100
57998605,-1900.0,-1113.603210067749,782,100
58093829,-1900.0,-1113.7936597824096,794,100
58189402,-1900.0,-1113.8924023628235,783,100
58200317,-1900.0,-1113.903317428589,773,100
58399368,-1900.0,-1113.7962805980476,798,100
58494422,-1900.0,-1113.6071200090855,786,100
58599356,-1900.0,-1112.4344045639039,785,100
58694023,-1900.0,-1111.3457345485688,788,100
58799527,-1900.0,-1109.015624809265,791,100
58894593,-1900.0,-1106.8766382217407,792,100
58998673,-1900.0,-1103.528104801178,797,100
59093585,-1900.0,-1100.443478603363,805,100
59198360,-1900.0,-1096.214978025427,798,100
59398669,-1900.0,-1087.52320728302,808,100
59493675,-1900.0,-1083.1529317855832,812,100
59598373,-1900.0,-1077.829962158203,823,100
59691684,-1900.0,-1073.0711096763612,832,100
59798467,-1900.0,-1067.2192762374875,825,100
59894434,-1900.0,-1061.941075134277,837,100
59999467,-1900.0,-1055.8568773269653,839,100
60094980,-1900.0,-1050.3171586990359,848,100
60200368,-1900.0,-1044.204602233887,856,100
60296289,-1900.0,-1038.641237251282,864,100
60400587,-1900.0,-1032.72487131375,872,100
60599411,-1900.0,-1021.6223446846006,876,100
60693083,-1900.0,-1016.4704219818112,891,100
60790874,-1900.0,-1011.2776551246642,894,100
60800480,-1900.0,-1010.7685331344605,890,100
60998364,-1900.0,-1000.7323116645814,905,100
61092757,-1900.0,-996.1542851314543,903,100
61198338,-1900.0,-991.5133219043213,906,100
61293405,-1900.0,-987.3571670608903,913,100
61400433,-1900.0,-983.5281204223631,913,100
61598544,-1900.0,-977.0536514282228,927,100
61695404,-1900.0,-974.1478534698488,926,100
61789166,-1900.0,-971.9340912818909,925,100
61798326,-1900.0,-971.7188370227813,923,100
61998617,-1900.0,-967.6724955558777,933,100
62093804,-1900.0,-966.0543295860291,930,100
62199420,-1900.0,-965.1294257678986,934,100
62293465,-1900.0,-964.3300459423067,935,100
62399356,-1900.0,-964.1472296643612,935,100
62494585,-1900.0,-964.0050966063543,933,100
62600295,-1900.0,-964.5626278400421,943,100
62802415,-1900.0,-966.3529918670655,939,100
62897542,-1900.0,-967.4945056915284,932,100
62993500,-1900.0,-969.0280136108399,935,100
63002291,-1900.0,-969.1686645507813,929,100
63198351,-1900.0,-972.6568607501985,929,100
63294053,-1900.0,-974.5230344944001,930,100
63398334,-1900.0,-976.8688743840512,920,100
63493344,-1900.0,-979.0173480661672,922,100
63598347,-1900.0,-981.6336885452271,917,100
63798446,-1900.0,-986.8390486717223,903,100
63893061,-1900.0,-989.3936660766601,906,100
63989037,-1900.0,-992.1230710983274,910,100
63998712,-1900.0,-992.3988011837004,901,100
64198557,-1900.0,-998.1451769828797,898,100
64293683,-1900.0,-1000.9038353919983,896,100
64399364,-1900.0,-1003.8150294685362,894,100
64493293,-1900.0,-1006.3980718517302,892,100
64599334,-1900.0,-1009.0456384877067,884,100
