TimeUS,terrain_cm,sub_cm,rf_cm,signal_quality
45198579,-2000.0,-1115.3507896423341,889,100
45298490,-2000.0,-1115.4007452487945,879,100
45400609,-2000.0,-1115.4518045902253,878,100
45599712,-2000.0,-1115.6027123222352,884,100
45698769,-2000.0,-1115.7008803581125,889,100
45799755,-2000.0,-1115.7511220087458,893,100
45896353,-2000.0,-1115.7991807890176,889,100
46000720,-2000.0,-1115.8513604164125,878,100
46199532,-2000.0,-1115.9,885,100
46295653,-2000.0,-1115.9,892,100
46398871,-2000.0,-1115.8495644454956,884,100
46494675,-2000.0,-1115.8016623382568,889,100
46598922,-2000.0,-1115.8507148781014,879,100
46698374,-2000.0,-1115.8993126869202,888,100
46798592,-2000.0,-1115.8492039203643,892,100
46998716,-2000.0,-1115.7491416931152,882,100
47095057,-2000.0,-1115.700971364975,883,100
47199227,-2000.0,-1115.7,878,100
47295434,-2000.0,-1115.7,880,100
47398613,-2000.0,-1115.7508068084717,888,100
47494263,-2000.0,-1115.7986316680908,884,100
47603540,-2000.0,-1115.9598104476927,884,100
47705301,-2000.0,-1116.1083011627197,878,100
47803212,-2000.0,-1116.2062125205994,886,100
47804212,-2000.0,-1116.2072125205993,889,100
47896117,-2000.0,-1116.299117351532,880,100
47999596,-2000.0,-1116.1979139792977,880,100
48097606,-2000.0,-1116.1003915283811,879,100
48199832,-2000.0,-1115.896335029602,881,100
48399609,-2000.0,-1115.4967813491821,876,100
48495846,-2000.0,-1115.3043060302734,880,100
48599210,-2000.0,-1115.1481847896575,874,100
48698370,-2000.0,-1114.9992556087936,878,100
48798875,-2000.0,-1114.7972353757925,884,100
48898383,-2000.0,-1114.5972335815432,881,100
48998793,-2000.0,-1114.3964122772218,879,100
49095580,-2000.0,-1114.2028383255004,887,100
49199609,-2000.0,-1114.0973907470704,888,100
49398476,-2000.0,-1113.6955711364747,886,100
49493538,-2000.0,-1113.410385799408,898,100
49598390,-2000.0,-1113.09582862854,890,100
49799446,-2000.0,-1112.441438135147,890,100
49894327,-2000.0,-1112.1093527641297,884,100
50000433,-2000.0,-1111.6883251740564,885,100
50199381,-2000.0,-1110.9958543777466,883,100
50293551,-2000.0,-1110.7133469581604,880,100
50389333,-2000.0,-1110.5629993438722,888,100
50399497,-2000.0,-1110.5477533817293,894,100
50598540,-2000.0,-1110.4502703304292,889,100
50694675,-2000.0,-1110.498337661743,882,100
50798368,-2000.0,-1110.5504366831565,892,100
50893529,-2000.0,-1110.5982560220075,897,100
50998377,-2000.0,-1110.6,886,100
51093306,-2000.0,-1110.6,895,100
51198347,-2000.0,-1110.6,893,100
51293181,-2000.0,-1110.6,882,100
51399283,-2000.0,-1110.6,883,100
51598364,-2000.0,-1110.7013647079468,885,100
51693997,-2000.0,-1110.7969972610474,887,100
51789183,-2000.0,-1110.938275241852,881,100
51800300,-2000.0,-1110.9549503936767,905,100
51999360,-2000.0,-1111.3037023212187,895,100
52094344,-2000.0,-1111.4927262643084,882,100
52200295,-2000.0,-1111.5511479854583,886,100
52294010,-2000.0,-1111.598005104065,889,100
52399553,-2000.0,-1111.6507767677308,881,100
52495160,-2000.0,-1111.6985801696778,888,100
52599291,-2000.0,-1111.9025833587648,884,100
52798600,-2000.0,-1112.4033188211258,883,100
52893237,-2000.0,-1112.6886562596615,892,100
52989655,-2000.0,-1112.9779666900636,886,100
52999519,-2000.0,-1113.0075573921204,876,100
53198381,-2000.0,-1113.5534546852111,884,100
53292774,-2000.0,-1113.7894354343414,892,100
53399081,-2000.0,-1113.9531220912934,876,100
53496233,-2000.0,-1114.0988497257233,876,100
53598489,-2000.0,-1114.30297832489,890,100
53694795,-2000.0,-1114.4955909729003,883,100
53799308,-2000.0,-1114.65346326828,891,100
53999347,-2000.0,-1114.7488262290954,889,100
54094671,-2000.0,-1114.7011644477845,883,100
54191943,-2000.0,-1114.7,876,100
54200682,-2000.0,-1114.7,886,100
54400330,-2000.0,-1114.597669696808,877,100
54496426,-2000.0,-1114.5015736579894,888,100
54599424,-2000.0,-1114.5,885,100
54695589,-2000.0,-1114.5,880,100
54798557,-2000.0,-1114.5,891,100
54893658,-2000.0,-1114.5,875,100
54999274,-2000.0,-1114.3982165696034,886,100
55198343,-2000.0,-1114.2493283748627,878,100
55292113,-2000.0,-1114.2024433612823,879,100
55387059,-2000.0,-1114.1099408149719,880,100
55399111,-2000.0,-1114.0978885650634,887,100
55598351,-2000.0,-1113.797296333313,885,100
55694499,-2000.0,-1113.6050012588503,887,100
55798347,-2000.0,-1113.397304916382,884,100
55893460,-2000.0,-1113.207078361511,882,100
55999351,-2000.0,-1113.0464722499846,886,100
56199583,-2000.0,-1112.6958535796969,877,100
56295293,-2000.0,-1112.505386314582,890,100
56389445,-2000.0,-1112.225663948059,880,100
56399484,-2000.0,-1112.1955453872679,896,100
56599596,-2000.0,-1111.595210647583,880,100
56696250,-2000.0,-1111.3052488327025,882,100
56798377,-2000.0,-1111.0992448348998,881,100
56893701,-2000.0,-1110.9085977096556,887,100
56998502,-2000.0,-1110.647482318974,891,100
57094005,-2000.0,-1110.4075230047333,885,100
57198609,-2000.0,-1110.2475860118866,890,100
57398763,-2000.0,-1110.1000000000001,886,100
57494555,-2000.0,-1110.1000000000001,890,100
57589861,-2000.0,-1110.1000000000001,887,100
57598669,-2000.0,-1110.1000000000001,886,100
57695632,-2000.0,-1110.1000000000001,908,100
